id,name,bereich,ableitung,neubau_refs,sanierung_refs,referenz_slugs
koroclean,"KOROCLEAN",industrieboden,neubau,4,0,"artofchocolate-schwarzach-u-wertheim mensa-hochschule-weiden verwaltungsgebaeude-moedel-amberg jura-werkstaetten-amberg"
korocure,"KOROCURE",industrieboden,sanierung,0,1,"hafen-catania"
korodur-0-4,"KORODUR 0/4",industrieboden,neubau,1,0,"hornbach-baumarkt-bruenn-cz"
korodur-diamantbeton,"KORODUR Diamantbeton",industrieboden,keine,0,0,""
korodur-durop,"KORODUR DUROP",industrieboden,sanierung,0,3,"parkhaus-flughafen-zuerich theodor-heuss-bruecke parkhaus-freiburger-munster-freiburg"
korodur-easyfinish,"KORODUR easyFinish",industrieboden,keine,0,0,""
korodur-fscem,"KORODUR FSCem",industrieboden,keine,0,0,""
korodur-fscem-screed,"KORODUR FSCem Screed",industrieboden,keine,0,0,""
korodur-hb-5,"KORODUR HB 5",industrieboden,beide,6,1,"strandkorbhalle-sylt heidelberger-cement-ag-heidelberg martensbro-schule-espoo-finnland jura-werkstaetten-amberg kunstdepot-muenchen martensbro-schule-espoo-finnland-2 restaurant-haerg-tallinn-estland"
korodur-hb-5-rapid,"KORODUR HB 5 rapid",industrieboden,sanierung,0,9,"antolin-wochenend-sanierung kleemann-produktionshalle monheim-produktionsflaeche weag-entsorgungsbetrieb wochenend-sanierung-werkstatt loosen-werkzeug-klausen obstplantage-ibbenbueren lkw-waschstrasse metro-grossmarkt-wien-oesterreich"
korodur-nanofinish,"KORODUR nanoFinish",industrieboden,keine,0,0,""
korodur-pc,"KORODUR PC",industrieboden,sanierung,0,4,"guben-produktionshalle sinusfugen-sanierung burger-king-munster neodur-level-norderstedt"
korodur-robust,"KORODUR Robust",industrieboden,keine,0,0,""
korodur-silosystem,"KORODUR Silosystem",industrieboden,keine,0,0,""
korodur-txpk,"KORODUR TXPK",industrieboden,neubau,2,0,"phoenix-media-mall-suzhou-china under-armoure-store-wisconsin-usa"
korodur-uniprimer,"KORODUR uniPrimer",industrieboden,keine,0,0,""
korodur-vs-0-5,"KORODUR VS 0/5",industrieboden,neubau,2,0,"u-bahnhof-koeln bomag-shanghai-china"
korodur-wh-metallisch,"KORODUR WH-metallisch",industrieboden,keine,0,0,""
korodur-wh-spezial,"KORODUR WH-Spezial",industrieboden,keine,0,0,""
koromineral,"KOROMINERAL",industrieboden,neubau,2,0,"jura-werkstaetten-amberg kunstdepot-muenchen"
koromineral-cure,"KOROMINERAL CURE",industrieboden,sanierung,0,2,"lkw-waschstrasse lkw-umfahrt-darmstadt"
koromineral-lasur,"KOROMINERAL Lasur",industrieboden,keine,0,0,""
koromineral-li,"KOROMINERAL Li+",industrieboden,sanierung,0,1,"kuechenbodensanierung-leinfelden"
korotex,"KOROTEX",industrieboden,sanierung,0,1,"hafen-catania"
neodur-he-2,"NEODUR HE 2",industrieboden,keine,0,0,""
neodur-he-3,"NEODUR HE 3",industrieboden,neubau,10,0,"amazon-logistikzentrum-bad-hersfeld amazon-logistikzentrum-wroclaw-polen bmw-logistikzentrum-wallersdorf bmw-austellungshalle-krefeld borbet-leichtmetallradproduktion-kodersdorf lidl-zentrallager-graben moxy-hotel obi-baumaerkte sic-processing-zhenjiang-china zalando-bygodszcz-polen"
neodur-he-3-green,"NEODUR HE 3 green",industrieboden,keine,0,0,""
neodur-he-40,"NEODUR HE 40",industrieboden,keine,0,0,""
neodur-he-60-rapid,"NEODUR HE 60 rapid",industrieboden,sanierung,0,6,"antolin-wochenend-sanierung kleemann-produktionshalle weag-entsorgungsbetrieb wochenend-sanierung-werkstatt obstplantage-ibbenbueren lkw-waschstrasse"
neodur-he-65,"NEODUR HE 65",industrieboden,beide,15,3,"strandkorbhalle-sylt wirtgen-produktionshallen-weltweit kraftwerk-bergamo gut-lippesee-paderborn hora-zentrale-schloss-holte-stuckenbrock martensbro-schule-espoo-finnland airbus-a-380-hamburg-finkenwerder borbet-leichtmetallradproduktion-kodersdorf caterpillar-abu-dhabi-dubai jura-werkstaetten-amberg kunstdepot-muenchen logistikzentrum-daimler-guangzhou-china martensbro-schule-espoo-finnland-2 moebelhaus-hoeffner-hamburg obi-baumaerkte ropa-montagezentrum-herrngiersdorf restaurant-haerg-tallinn-estland wago-stanzerei-minden"
neodur-he-65-plus,"NEODUR HE 65 Plus",industrieboden,sanierung,0,3,"helipad-sanierung-polen hafen-catania hubschrauber-landeplatz-finnland"
neodur-level,"NEODUR Level",industrieboden,sanierung,0,4,"guben-produktionshalle sanierung-einer-sanierung neodur-level-norderstedt fertigstellen-eines-zementfussbodens-in-einem-bewohnten-appartment-gdynia-polen"
neodur-level-au,"NEODUR Level AU",industrieboden,keine,0,0,""
rapid-set-levelflor,"Rapid Set LevelFlor",industrieboden,neubau,1,0,"nike-shop-kaunas-litauen"
system-korodur-korotan,"System KORODUR-KOROTAN",industrieboden,neubau,2,0,"kunstdepot-muenchen restaurant-haerg-tallinn-estland"
goodcat-golden-nature,"goodcat golden nature",katzenstreu,keine,0,0,""
goodcat-organic-love,"goodcat organic love",katzenstreu,keine,0,0,""
goodcat-silver-classic,"goodcat silver classic",katzenstreu,keine,0,0,""
microtop-tw-02,"MICROTOP TW 02",microtop,sanierung,0,3,"trinkwasserbehaelter-haidberg trinkwasserturm-budapest hochbehaelter-krottenbach"
microtop-tw-3,"MICROTOP TW 3",microtop,sanierung,0,4,"trinkwasserbehaelter-haidberg trinkwasserspeicher-raecknitz-dresden hochbehaelter-puchheim hochbehaelter-krottenbach"
