ID,Produkt,Produktart (Lieferprogramm),Bereich Neubau,Bereich Sanierung,Hinweis / Flag
korodur-0-4,KORODUR 0/4,Hartstoffe DIN 1100,Inbo,—,
korodur-vs-0-5,KORODUR VS 0/5,Hartstoffe DIN 1100,Inbo,—,
korodur-wh-spezial,KORODUR WH-Spezial,Hartstoffe DIN 1100,Inbo,—,
korodur-wh-metallisch,KORODUR WH-metallisch,Hartstoffe DIN 1100,Inbo,—,
korodur-diamantbeton,KORODUR Diamantbeton,Hartstoffe DIN 1100,Inbo,—,
neodur-he-3,NEODUR HE 3,Industrieboden-Trockenmörtel,Inbo,—,Einstreuung
neodur-he-3-green,NEODUR HE 3 green,Industrieboden-Trockenmörtel,Inbo,—,"Einstreuung, CO₂-reduziert"
neodur-he-2,NEODUR HE 2,Industrieboden-Trockenmörtel,Inbo,—,Einstreuung
neodur-he-65,NEODUR HE 65,Industrieboden-Trockenmörtel,Inbo,Inbo,? Verbundestrich auch auf erhärtetem Tragbeton (Sanierungs-Overlay) — Frank bestätigen
neodur-he-65-plus,NEODUR HE 65 Plus,Industrieboden-Trockenmörtel,Inbo,Inbo,Verbundestrich auf erhärtetem Tragbeton ohne Haftbrücke → auch Sanierung
neodur-he-40,NEODUR HE 40,Industrieboden-Trockenmörtel,Inbo,—,Trockenestrich C35/C45
neodur-he-60-rapid,NEODUR HE 60 rapid,Schnellestrich/-Bindemittel,Inbo,Inbo,LP3: „zur Herstellung UND Sanierung“
korodur-fscem,KORODUR FSCem,Schnellestrich/-Bindemittel,Inbo,Inbo,
korodur-fscem-screed,KORODUR FSCem Screed,Schnellestrich/-Bindemittel,Inbo,Inbo,
neodur-level,NEODUR Level,Selbstverlaufende Industrieböden,Inbo,Inbo,
neodur-level-au,NEODUR Level AU,Selbstverlaufende Industrieböden,Inbo,Inbo,"außen, Ausgleichsmasse"
rapid-set-levelflor,Rapid Set LevelFlor,Rapid Set,Inbo,Inbo,LP10.13 Ausgleichsmasse
korodur-uniprimer,KORODUR uniPrimer,Haftbrücke/Grundierung,Inbo,Inbo,Hilfsprodukt
korodur-hb-5,KORODUR HB 5,Haftbrücke/Grundierung,Inbo,Inbo,Hilfsprodukt
korodur-hb-5-rapid,KORODUR HB 5 rapid,Haftbrücke/Grundierung,Inbo,Inbo,Hilfsprodukt
korodur-pc,KORODUR PC,Haftbrücke/Grundierung,Inbo,Inbo,Hilfsprodukt
korodur-txpk,KORODUR TXPK,Haftbrücke/Grundierung,Inbo,Inbo,EP-Grundierung
korocure,KOROCURE,Nachbehandlung/Curing,Inbo,Inbo,Hilfsprodukt
koromineral-cure,KOROMINERAL CURE,Nachbehandlung/Curing,Inbo,Inbo,Hilfsprodukt
korotex,KOROTEX,Nachbehandlung/Curing,Inbo,Inbo,Hilfsprodukt
korodur-easyfinish,KORODUR easyFinish,Nachbehandlung/Curing,Inbo,Inbo,Hilfsprodukt
korodur-nanofinish,KORODUR nanoFinish,Nachbehandlung/Curing,Inbo,Inbo,Hilfsprodukt
koromineral,KOROMINERAL,Imprägnierung/Einpflege,Inbo,Inbo,Hilfsprodukt
